jid,formula,point_group,n_channels,channels,dominant_channel,coarse_class,fine_class_tol005
JVASP-11981,Nb6Al2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-1378,B2Sc,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-14492,Nb3O3,Oh,5,d;f;p;s;z3,f,C00_Oh,F147_Oh_f
JVASP-14680,B2Cr,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-14726,B2Nb,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-14798,B2Mn,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-14960,V6Si2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19668,Nb6Sn2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19684,Nb6Ge2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19821,B2Mg,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20620,B6Y,Oh,5,d;f;p;s;z3,f,C00_Oh,F148_Oh_f
JVASP-36379,B2Ca,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-78264,B2Mn,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-113491,Cl2Rb,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-114063,Cl2Al,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-115181,B2Li,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-115191,I2Li,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-115780,C2Sn,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-116158,Cl2Hf,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-117640,Br2Be,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-117863,Br2Pb,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-118601,Ag2Li,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-118886,F2Li,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-120382,P2As,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-121186,S2Li,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-16550,Hg2Na,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-19641,Be2Zr,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-15900,B2W,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-36265,LiMnAs,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-40773,VFeSe,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-116211,LiYIr,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-118122,SrPCl,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-17812,Si2Fe,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F025_D4h_s
JVASP-36214,V2C,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-75681,VGeAs,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-113963,LiBN,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-120278,Li2N2Al,D3d,3,p;s;z3,z3,C07_D3d,F097_D3d_z3
JVASP-120350,NaZnSe,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F018_C4v_s
JVASP-121083,H2C2,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F025_D4h_s
JVASP-15176,Ti3AlC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-37909,O3BeGa,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-100364,O4NbMo,D2h,3,d;p;s,s,C04_D2h,F029_D2h_s
JVASP-100634,V6CoIr,Th,5,d;f;p;s;z3,f,C14_Th,F061_Th_f
